provider,review_id,rating,title,text,likes,filtered,pending,experienced_date,published_date,source_url
argos,695be9cf24c053e20f2294ff,1,Not good for longterm or loyal customers,"Avoid if you are looking to be with them long term. I have been with them since 2009. My cat had her 1st claim at 16 and a half and they doubled my renewal cost to £160 per month. 
When I called to speak to them and explain that I had been with them since my cats were kittens, I was told ""there is no loyalty in the insurance industry"". 
They don't value customers, and the longer you are with them, the more you will pay.
I would never dream of treating a loyal customer like this.",0,False,False,2026-01-05T00:00:00.000Z,2026-01-05T18:41:51.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,695bda9690deb77f8ceb0979,5,Happy to be with Argos Pet Insurance ,"We recently had to make a claim for our dog and everyone I have spoken to have been so friendly & helpful. 

Our claim was dealt with fast & effectively and we’re very happy to be insured with Argos Pet Insurance ",0,False,False,2025-12-29T00:00:00.000Z,2026-01-05T17:36:54.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,695bd5d7e9663ba93ef57bbd,5,Fantastic quick payment to vets,"Fantastic quick payment to vets, taking away additional worries so I could concentrate on my dog. Thank you",0,False,False,2025-12-23T00:00:00.000Z,2026-01-05T17:16:39.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,695b9690286937e0524f4410,1,I can not stress strongly enough that…,I can not stress strongly enough that you should not use this insurance company.  They will use every which way they can not to make a payment. Really really disappointing service. ,0,False,False,2026-01-05T00:00:00.000Z,2026-01-05T12:46:40.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,695af796a162dc65fb3e267c,5,Argos Pet Insurance - Excellent Insurance Company,"Deciding which pet insurance isnt easy but Argos provided excellent policy cover for an excellent price with free vet nurse calls.  You always hope insurance is something you never have to use but pay for it just in case. How an insurance company treats you in the event of having to make a claim, speaks volumes about their integrity. We have unfortunately had to claim and have been so pleased with Argos pet insurance and their handling of our claim. The support team have been friendly, helpful, kind and supportive throughout the claims process, which is rare nowadays and very much appreciated. So glad we picked Argos and would definitely recommend them.   ",0,False,False,2026-01-02T00:00:00.000Z,2026-01-05T01:28:22.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,695ab1b6aa3f5ad5f014fdb7,5,Grateful for our pet insurance company ,"Our dog required an unexpected and costly surgery. Like most pet owners we had taken out pet insurance purely for peace of mind and we had never expected needing it, when considering her age. Fortunately, after given the unexpected news from the vet we were able to speak to someone at argos pet insurance who kindly helped explain things and gave us support with the online form - which by the way the online portal is easy to use. Thankfully, we didn’t wait long for a decision which helped us not to delay the operation. We were incredible grateful to know that we were covered, (minus the excess) and there were no hidden loop holes! This allowed us to focus our energy on our beloved dog’s recovery.",0,False,False,2025-12-18T00:00:00.000Z,2026-01-04T20:30:14.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,695513c7ef4f209079c935ce,4,So far so good  not had need to use it…,So far so good  not had need to use it yet buy updates etc are encouraging. ,0,False,False,2025-12-31T00:00:00.000Z,2025-12-31T14:15:03.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,695464afef343e332288bb54,5,hassle free,hassle free. we have been we them for a few years first time we actually needed to claim and it was paid out under a weeks time. When your already emotionally upset it’s nice to have a provider that doesn’t mess about and take some pressure away. ,0,False,False,2025-12-09T00:00:00.000Z,2025-12-31T01:47:59.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,6952a59ef17d3c1c6e743fc7,5,Fast and amazing,"My puppy had an accident and unfortunately had to go to the vet which resulted in surgery. Argos pet insurance were swift and amazing. My vet had never dealt with them before, and couldn't believe how fast they responded, and completed the claim. I would recommend Argos Pet Insurance in the future. ",0,False,False,2025-12-22T00:00:00.000Z,2025-12-29T18:00:30.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,69510efec60bdf4d46355414,5,Excellent service ,"Easy claims procedure and very swift action taken, paid the full amount of cover on the policy within days. Well done Argos, excellent service.",0,False,False,2025-12-22T00:00:00.000Z,2025-12-28T13:05:34.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,694ffbf539d84b2c85b2b2be,5,Efficient service ,Had to pay out £480 directly to the vet for treatment on my puppy. Argos reimbursed me quickly and easily.  Happy I have a lifetime plan as my little buddy is costing me and arm and a leg.  Good to know the process worked so efficiently as it was stressful paying out then having to wait to claim back but Argos kept to their side of the bargain.  ,0,False,False,2025-12-15T00:00:00.000Z,2025-12-27T17:32:05.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,694e5832df33e4c5c43eeb3b,5,The portal is quick and easy to use,"The portal is quick and easy to use. 
All the documents are in one place
",0,False,False,2025-12-10T00:00:00.000Z,2025-12-26T11:41:06.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,694e48a0830f19db149fc91e,5,Fast and easy to claim,"No hassle, easy to make a claim. No long forms or phone calls, all done through the vet practice 
Thank you so much",0,False,False,2025-11-28T00:00:00.000Z,2025-12-26T10:34:40.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
argos,694bd9dc4f1841fb1ebd1f0b,1,Will call you to say your claim has…,"Will call you to say your claim has been accepted, then send you an email the next day rejecting it.
When you raise an issue, they do not respond. 

Even without subscribing to emails, you get spammed with them all the time. 
Will not be staying with them.",0,False,False,2025-12-24T00:00:00.000Z,2025-12-24T14:17:32.000Z,https://www.trustpilot.com/review/argospetinsurance.co.uk?page=1
