id,filtered,pending,text,rating,title,likes,experienced,published,source
694058b662328f474b0b4ada,False,False,"I've had AKC insurance for over a decade.  Up until 3 years ago, they handled claims quickly, fairly, and now that has all changed.  On a $2400 vet bill, I got back about $330.  I have two policies, and all the bells and whistles.  My monthly premium is slightly over that. I spoke to them, got nowhere.  They only pay out $50 for an exam, when in the NE it costs almost $200 for a dog.  They don't cover a lot of things that they used to.  My dogs are 3 and 4 and my cats are 3. So its not an old age thing nor pre existing conditions.  I did shop around, got a lot of quotes, settled on Pet's Best. ",3,"AKC pet insurance is no longer any good. 10 years ago, they were great.  As of 2-3 yrs ago, pretty bad.",0,2025-11-18T00:00:00.000Z,2025-12-15T20:51:34.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
69376d9001d455d7677cf597,False,False,This team is amazing!! They have walked me thru the process of everything helped me get organized. Helped me turn in the claims and waited while I figured out how to upload stuff..patient kind and understanding. I'm in awe ! I'm tickled and I feel blessed !! ,5,This team is amazing!,0,2025-12-05T00:00:00.000Z,2025-12-09T02:30:08.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
693323f32ce7488e64f00e44,False,False,"Ive never written a review in my life but Im beyond upset with this company.  Coverage is spotty at best they put limits on everything to barely cover your premium. But thats not my issue.
 My dog had ingested a balloon in April and needed to go to the vet to get it out, I submitted the claim and received a small portion back but like the limits I still did not complain. 
Last weekend my dog was playing with  a baseball and got to the string and ingested some which was not passing so I returned to the vet which led me to the emergency room.  This visit cost me just under 1500.00 of which I will not receive any reimbursement from because they said it was ""repetitive and has previously occurred so was not covered"". Make that make sense.  
So if you think your pet could possibly do something wrong or be injured more than once with any similarity I would not suggest using this company. ",1,Ive never written a review in my life…,0,2025-12-05T00:00:00.000Z,2025-12-05T20:26:59.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
690e58bb8961183b2478a62c,False,False,Despite the reason for surgery being complications secondary to a genetic condition and not the genetic condition inherently they refused to cover treatment for my dog. ,1,poor coverage,0,2025-11-06T00:00:00.000Z,2025-11-07T22:38:19.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
68d3efd42fbb9567ea9e77d8,False,False,Typical insurance company that will spend an inordinate amount of time and energy (money) into looking to deny your claim.  I got the 30 days free when registering my dog and by happenstance had a claim..urinary tract infection for a female puppy and they arbitrarily claimed it was a congenital defect.  The Vet said no way.  Not worth the fight since I will not be renewing and definitely not worth your money to get this insurance.  ,3,Typical insurance company,0,2025-09-24T00:00:00.000Z,2025-09-24T15:19:16.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
688a5cb7bcebcaaf35913394,False,False,"I was pleased with AKC insurance when I first signed up (and, even recommended it to my fellow dog exhibitors), but competence has taken a steep nosedive over the past few months, with claims adjusters denying claims made less than 30 days after a covered event as having exceeded the 180 day limit. I strongly suspect they have either instituted the use of AI to deny claims based upon the inability of their AI software to accurately process claims, or they’ve hired employees who don’t understand how to read a calendar.",1,Is AKC using AI to deny legitimate claims?,0,2025-07-29T00:00:00.000Z,2025-07-30T19:56:07.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
68658a39edd48da2bcba0171,False,False,"My claim was denied on the removal of an undescended testicle in a dog. I appealed and was informed that I would need additional coverage to the ever escalating premiums that I already pay. This was not a neuter, but a necessary procedure done to prevent cancer, which is a risk with undescended testicles. AKC pet insurance is overpriced and has many add on with coverage, not a basic wellness coverage and/or illness/accident coverage. I would not recommend and will be cancelling the policy.",1,Overpriced insurance plan with unclear coverage.…,0,2025-06-03T00:00:00.000Z,2025-07-02T21:36:25.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
67d9f4ce474fc9f276a327e8,False,False,AKC pet insurance was the first option I considered the day I brought my beloved Fiona home. I am so very thankful for everything AKC pet insurance did for Fiona and I. They always responded quickly to our claims. I would most definitely recommend AKC pet insurance to anyone considering pet insurance.  ,5,AKC pet insurance was the first option…,0,2025-03-13T00:00:00.000Z,2025-03-19T00:33:51.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
67d0885279e3d87e579a76c8,False,False,"AKC Pet Insurance denied all claims related to the condition that led to my dog's death (bowel obstruction) because they had paid me $10 for when I took him to the vet when he was vomiting a few months ago. The vet took X-rays at that time and found no obstruction. Their customer service representative provided no recourse and left me with over $10,000 of bills for a very traumatic experience that ended in my beloved young dog's death. They claim that they cannot revise the previous claim because it has been ""finalized.""",1,Denied claims based on their error,0,2025-03-11T00:00:00.000Z,2025-03-11T21:00:34.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
67ae1e4b2496dbe87e24ebde,False,False,"I submitted a claim on 1-9-25 for our dog who had broken a toenail bad enough to have the vet cut it all the way back.  Since that time AKC pet insurance has repeatedly declined to pay our claim saying the invoice was created using Aspose software that can be altered. Which is entirely incorrect.  Our Vet does not use this software.  Our vet has sent in an invoice, I have forwarded an invoice from our vet by email & so far nothing.  These claims people need to learn to pick up the phone to contact a vendor if there is a question.  ",1,Very poor claim service,0,2025-02-13T00:00:00.000Z,2025-02-13T18:31:07.000Z,https://www.trustpilot.com/review/www.akcpetinsurance.com?page=1
